# Tool registry across the fleet — the review list for `make doctor`.
#
# This file does NOT install, upgrade, or assert anything. It answers one question a human reliably
# forgets: "when did I last think about this?" The bump itself stays a decision — auto-bumping
# Litestream would change what replicates your only backups, and auto-bumping Rails would change
# what boots in production.
#
# After reviewing an entry, update its `reviewed` date whether or not you changed the version.
# A review that concluded "stay put" is still a review; dates that only move on bumps measure the
# wrong thing.
#
# Columns, tab-separated:
#   tool      short name
#   pinned    the version pinned, or "floating" when nothing pins it (apt/distro/upstream decides)
#   where     path (relative to workspace root) that MUST contain the pinned string — doctor greps
#             it and reports registry drift if absent. "-" when nothing local pins it.
#   upstream  github owner/repo for a best-effort latest-release check, or "-" to skip
#   reviewed  YYYY-MM-DD, last time a human looked
#
# tool	pinned	where	upstream	reviewed

# --- Pinned: a version string exists in a tracked file ---------------------------------------
litestream	v0.3.13	iacarus/config.sh	benbjohnson/litestream	2026-07-20
# ruby/rails: pinned by mpl until the canary exists — the template is docs-only and pins nothing.
# When perdix is stamped, repoint these at its .ruby-version / Gemfile.lock.
ruby	3.4.10	mpl/.ruby-version	-	2026-07-20
rails	8.1.3	mpl/Gemfile.lock	rails/rails	2026-07-20
ubuntu	24.04	iacarus/.env.example	-	2026-07-20

# --- Floating: installed unpinned; upstream or the distro decides the version -----------------
# Listed on purpose. "We do not pin this" is a decision worth being able to see, and the upstream
# column still surfaces when a floating tool has moved a long way from what you last saw.
kamal-proxy	floating	-	basecamp/kamal-proxy	2026-07-20
docker.io	floating	-	-	2026-07-20
docker-buildx	floating	-	-	2026-07-20
op	floating	-	-	2026-07-20
hcloud	floating	-	hetznercloud/cli	2026-07-20
aws-cli	floating	-	-	2026-07-20
jq	floating	-	jqlang/jq	2026-07-20
# cloudflared runs as the docker image cloudflare/cloudflared:latest in the tunnel smoke test —
# deliberately unpinned (the smoke is throwaway), but that is a decision, so it is visible here.
cloudflared	floating	-	cloudflare/cloudflared	2026-07-20
